c1_headjob_t0_n,1796
c1_headjob_t0_r2, 0.11
c1_headjob_t1_p, 0.20
c1_headjob_t1_beta, 0.034
c1_headjob_t1_starbeta, 0.034
c1_headjob_t1_se, 0.027
c1_headjob_t1_n,1796
c1_headjob_t1_r2, 0.11
c1_headjob_test, 0.920
c1_headjobiga_1_cmean, 0.236
c1_headjobiga_1_csd, 0.425
c1_headjobiga_1_t_p, 0.15
c1_headjobiga_1_t_beta, 0.028
c1_headjobiga_1_t_starbeta, 0.028
c1_headjobiga_1_t_se, 0.020
c1_headjobiga_1_t_n,1796
c1_headjobiga_1_t_r2, 0.11
c1_headjobiga_1_t0_p, 0.16
c1_headjobiga_1_t0_beta, 0.033
c1_headjobiga_1_t0_starbeta, 0.033
c1_headjobiga_1_t0_se, 0.024
c1_headjobiga_1_t0_n,1796
c1_headjobiga_1_t0_r2, 0.11
c1_headjobiga_1_t1_p, 0.22
c1_headjobiga_1_t1_beta, 0.029
c1_headjobiga_1_t1_starbeta, 0.029
c1_headjobiga_1_t1_se, 0.024
c1_headjobiga_1_t1_n,1796
c1_headjobiga_1_t1_r2, 0.11
c1_headjobiga_1_test, 0.884
c1_headjobiga_2_cmean, 0.026
c1_headjobiga_2_csd, 0.161
c1_headjobiga_2_t_p, 0.04
c1_headjobiga_2_t_beta, 0.018
c1_headjobiga_2_t_starbeta,0.018**
c1_headjobiga_2_t_se, 0.009
c1_headjobiga_2_t_n,1796
c1_headjobiga_2_t_r2, 0.05
c1_headjobiga_2_t0_p, 0.26
c1_headjobiga_2_t0_beta, 0.012
c1_headjobiga_2_t0_starbeta, 0.012
c1_headjobiga_2_t0_se, 0.010
c1_headjobiga_2_t0_n,1796
c1_headjobiga_2_t0_r2, 0.05
c1_headjobiga_2_t1_p, 0.03
c1_headjobiga_2_t1_beta, 0.025
c1_headjobiga_2_t1_starbeta,0.025**
c1_headjobiga_2_t1_se, 0.012
c1_headjobiga_2_t1_n,1796
c1_headjobiga_2_t1_r2, 0.05
c1_headjobiga_2_test, 0.341
c1_headjobiga_3_cmean, 0.062
c1_headjobiga_3_csd, 0.242
c1_headjobiga_3_t_p, 0.19
c1_headjobiga_3_t_beta,-0.014
c1_headjobiga_3_t_starbeta,-0.014
